ProductName,image,link,price,maxretailprice,stars,GlobalRatings,Best Sellers Rank,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,reviewsLink,packageSize,Brand,Item Form,Scent,Special Feature,Material Feature,Number of Items,Net Quantity,Item Volume,Use for,Product Dimensions,Date First Available,Manufacturer,ASIN,Item model number,Country of Origin,Packer,Item Weight,Item Dimensions LxWxH,Included Components,Generic Name,Material Type Free,Is Discontinued By Manufacturer,Importer,Package Dimensions,Item part number
"Nivea Men Deodorant 42K With Silver Ions Technology For Max Freshness, 150ml",https://m.media-amazon.com/images/I/71ZuOVOSKQL._AC_UL320_.jpg,https://amazon.in/Deodorant-Technology-Freshness-Odour-causing-Bacteria/dp/B08CC14DBY/ref=sr_1_11?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-11,150,250,3.7,331,"  #3,056 in Beauty     #137 in Deodorant       #137 in Deodorant",43%,21%,14%,10%,12%,https://amazon.in/Deodorant-Technology-Freshness-Odour-causing-Bacteria/product-reviews/B08CC14DBY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Nivea,Spray,Fresh,Not available,Not available,1,150.0 millilitre,150 Millilitres,Not available,4.5 x 4.5 x 16.7 cm; 130 Grams,15 July 2020,"NIVEA, 4th Floor, A Wing, Art Guild House, Phoenix Market City, Kurla West, Mumbai, Maharashtra 400070",B08CC14DBY,85394-09815-30,Germany,"Nivea India Pvt. Ltd., 4th Floor, A Wing, Art Guild House, Phoenix Market City, Kurla West, Mumbai, Maharashtra 400070; Phone: 022 6248 7999",130 g,45 x 45 x 167 Millimeters,Not available,Men 42k Deodorant,Alcohol Free,No,"Nivea India Pvt. Ltd., 4th Floor, A Wing, Art Guild House, Phoenix Market City, Kurla West, Mumbai, Maharashtra 400070; Phone: 022 6248 7999",Not available,Not available
"Axe Recharge Midnight Deodorant For Men, 150ml (Pack Of 2)",https://m.media-amazon.com/images/I/51tFYrIDGhL._AC_UL320_.jpg,https://amazon.in/Recharge-Midnight-24x7-Deodarant-150ml/dp/B08R717FT7/ref=sr_1_12?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-12,208,245,3.8,"2,502",  #956 in Beauty     #38 in Deodorant       #38 in Deodorant,44%,22%,15%,7%,12%,https://amazon.in/Recharge-Midnight-24x7-Deodarant-150ml/product-reviews/B08R717FT7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,AXE,Spray,Fresh,Not available,Not available,1,300.0 millilitre,150 Millilitres,Not available,11 x 5.4 x 14.3 cm; 300 Grams,22 December 2020,"HUL, Unilever Industries Pvt. Ltd. C-9, (Part) MIDC Khamgaon, Pin- 444303, Buldhana, Maharashtra TOLL FREE: 1800-10-22-221 PO BOX 14760, MUMBAI 400 099 LEVER.CARE@UNILEVER.COM",B08R717FT7,29010,India,"Unilever Industries Pvt. Ltd. C-9, (Part) MIDC Khamgaon, Pin- 444303, Buldhana, Maharashtra TOLL FREE: 1800-10-22-221 PO BOX 14760, MUMBAI 400 099 LEVER.CARE@UNILEVER.COM",300 g,11 x 5.4 x 14.3 Centimeters,Not available,Deodorant,Not available,Not available,"Unilever Industries Pvt. Ltd. C-9, (Part) MIDC Khamgaon, Pin- 444303, Buldhana, Maharashtra TOLL FREE: 1800-10-22-221 PO BOX 14760, MUMBAI 400 099 LEVER.CARE@UNILEVER.COM",Not available,Not available
"Nivea Protect & Care Deodorant For Men, 150ml",https://m.media-amazon.com/images/I/41PeMLjv4eL._AC_UL320_.jpg,https://amazon.in/Nivea-Protect-Care-Deodorant-150ml/dp/B01N9ZX851/ref=sr_1_13?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-13,135,199,4.0,"2,409","  #1,279 in Beauty     #46 in Deodorant       #46 in Deodorant",49%,25%,13%,4%,9%,https://amazon.in/Nivea-Protect-Care-Deodorant-150ml/product-reviews/B01N9ZX851/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Nivea,Spray,Fresh Woody,Not available,Not available,1,1 count,150 Millilitres,Not available,Not available,6 February 2017,"Nivea India Pvt Ltd, SAI CORPORATION, Khasra No.353/196/186/1-2, Village Johron, Trillokpur Road, Kala Amb, Dist. Sirmour-173030 (H.P); Phone: 022 6248 7999",B01N9ZX851,8904256000284,India,"Nivea India Pvt. Ltd., 4th Floor, A Wing, Art Guild House, Phoenix Market City, Kurla West, Mumbai, Maharashtra 400070; Phone: 022 6248 7999",Not available,45 x 45 x 168 Millimeters,Dedoarnt Male,Deodorant,Alcohol Free,No,"Nivea India Pvt. Ltd., 4th Floor, A Wing, Art Guild House, Phoenix Market City, Kurla West, Mumbai, Maharashtra 400070; Phone: 022 6248 7999",Not available,Not available
"Nivea Deep Impact Freshness Deodorant For Men, 150ml",https://m.media-amazon.com/images/I/71brTv795WL._AC_UL320_.jpg,https://amazon.in/Nivea-Impact-Freshness-Deodorant-Spray/dp/B07D1CRT6R/ref=sr_1_14?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-14,199,210,3.7,"5,988","  #1,038 in Beauty     #42 in Deodorant       #42 in Deodorant",43%,21%,13%,6%,17%,https://amazon.in/Nivea-Impact-Freshness-Deodorant-Spray/product-reviews/B07D1CRT6R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Nivea,Spray,Woody,Not available,Not available,1,1 count,150 Millilitres,Not available,4.5 x 4.5 x 16.7 cm; 150 Grams,11 May 2018,"Cyberpax Co., Ltd., Cyberpax Co. Ltd., 123 Moo 9 Soi 11, Wellgrow Industrial Estate, Bangna-Trad Road KM. 36, Bangpackong District, Chachoengsao 24180, Thailand; Phone: 022 6248 7999",B07D1CRT6R,80027-09817-28,Thailand,"Nivea India Pvt. Ltd., 4th Floor, A Wing, Art Guild House, Phoenix Market City, Kurla West, Mumbai, Maharashtra 400070; Phone: 022 6248 7999",150 g,45 x 45 x 167 Millimeters,Dedoarnt Male,Deodorant,Alcohol Free,No,"Nivea India Pvt. Ltd., 4th Floor, A Wing, Art Guild House, Phoenix Market City, Kurla West, Mumbai, Maharashtra 400070; Phone: 022 6248 7999",Not available,Not available
"Brut Original Deodorant For Men, 200ml",https://m.media-amazon.com/images/I/31zlrHhKLkL._AC_UL320_.jpg,https://amazon.in/Brut-Original-Deodorant-Men-200ml/dp/B07HB4JHKG/ref=sr_1_15?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-15,182,325,3.8,"5,148",  #511 in Beauty     #20 in Deodorant       #20 in Deodorant,44%,22%,15%,7%,13%,https://amazon.in/Brut-Original-Deodorant-Men-200ml/product-reviews/B07HB4JHKG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Brut,Spray,"Sandalwood, Lavender, Jasmine, Vanilla, Patchouli",Not available,Not available,1,200 millilitre,200 Millilitres,Whole Body,17.9 x 4.9 x 4.8 cm; 200 Grams,13 September 2018,"Unilever Ltd, Unilever Dept. ER Wirral CH63 3JW UK",B07HB4JHKG,8886467035340,United Kingdom,""" 1.Sawan Agencies, I-2, Kirti Nagar, Plot No.63 PVT No.15, Rama Road Marg, Najafgarh Industrial Area, New Delhi-110015 2)United Distributors, 324, Mysore Road, Haltsons Compund, Opposite R.V. Bajaj Showroom, Bangalore-560039. 3)Mahaveer Marketing8th Floor, B-9, Sai Niketan, Mazgaon, Dr, Mascarenhas Road, Anjiirwadi, Mumbai-400010 4)Sufal Commercial Pvt Ltd. 4/3 Ho Chi Minh Sarani Ground floor ,Kolkata-700071.""",200 g,17.9 x 4.9 x 4.8 Centimeters,Not available,Deodorant,Not available,Not available,""" 1.Sawan Agencies, I-2, Kirti Nagar, Plot No.63 PVT No.15, Rama Road Marg, Najafgarh Industrial Area, New Delhi-110015 2)United Distributors, 324, Mysore Road, Haltsons Compund, Opposite R.V. Bajaj Showroom, Bangalore-560039. 3)Mahaveer Marketing8th Floor, B-9, Sai Niketan, Mazgaon, Dr, Mascarenhas Road, Anjiirwadi, Mumbai-400010 4)Sufal Commercial Pvt Ltd. 4/3 Ho Chi Minh Sarani Ground floor ,Kolkata-700071.""",Not available,Not available
"Kama Sutra Spark Deodorant Spray for Men, 145g/220ml",https://m.media-amazon.com/images/I/61mFKRPU0cL._AC_UL320_.jpg,https://amazon.in/Kamasutra-Spark-Deo-Spray-260ml/dp/B07GY51BCY/ref=sr_1_16?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-16,169,360,4.0,"1,153",  #637 in Beauty     #24 in Deodorant       #24 in Deodorant,51%,25%,9%,3%,11%,https://amazon.in/Kamasutra-Spark-Deo-Spray-260ml/product-reviews/B07GY51BCY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Kama Sutra,Spray,spark,Not available,Not available,1,220.0 millilitre,220 Millilitres,Not available,5.2 x 5.3 x 20.5 cm; 145 Grams,29 August 2018,"JK Ansell Pvt Ltd, (A) Accra pac(1)pvt ltd, plot 1105,phaseiii,GIDC, vapi-396195 gujrat consumer care-912406611364",B07GY51BCY,Ks-10010,India,Not available,145 g,5.2 x 5.3 x 20.5 Centimeters,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Engage Floral Zest Deodorant for Women, Citrus and Floral, Skin Friendly, 150ml",https://m.media-amazon.com/images/I/51BM1seIcqS._AC_UL320_.jpg,https://amazon.in/Engage-Floral-Deodorant-Citrus-Friendly/dp/B08WJS8QGJ/ref=sr_1_17?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-17,163,200,4.1,"1,927","  #1,759 in Beauty     #66 in Deodorant       #66 in Deodorant",50%,25%,14%,5%,7%,https://amazon.in/Engage-Floral-Deodorant-Citrus-Friendly/product-reviews/B08WJS8QGJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Engage,Spray,Citrus,Not available,Not available,1,1 count,150 Millilitres,Not available,5.3 x 16.7 x 16.7 cm; 140 Grams,11 February 2021,"MIDAS-CARE PHARMACEUTICALS PVT. LTD, 1)MIDAS-CARE PHARMACEUTICALS PVT. LTD., LOTUS CORPORATE PARK, 302, ""B"" WING, CTS NO. 185/A , GRAHAM FIRTH COMPOUND, WESTERN EXPRESS HIGHWAY, GOREGAON (EAST), MUMBAI -400 063 Maharashtra AT B-16, MIDC, WALUJ, AURANGABAD - 431136 Maharashtra. MFG. LIC. NO.: M-AD/C-003 ST. EX. LIC. NO.: L-1 8/95-96. 2) M/S. SAI CORPORATION., A-2/494, SECTOR -8, ROHINI, DELHI-110085 AT 353/196/186/1-2, VILLAGE JOHRON, TRILOKPUR ROAD, KALA AMB, DISTRICT SIRMOUR-173030, HIMACHAL PRADESH. M- N-COS/16/43.",B08WJS8QGJ,ENGFLZHERDEO150,India,"1)MIDAS-CARE PHARMACEUTICALS PVT. LTD., LOTUS CORPORATE PARK, 302, ""B"" WING, CTS NO. 185/A , GRAHAM FIRTH COMPOUND, WESTERN EXPRESS HIGHWAY, GOREGAON (EAST), MUMBAI -400 063 Maharashtra AT B-16, MIDC, WALUJ, AURANGABAD - 431136 Maharashtra. MFG. LIC. NO.: M-AD/C-003 ST. EX. LIC. NO.: L-1 8/95-96. 2) M/S. SAI CORPORATION., A-2/494, SECTOR -8, ROHINI, DELHI-110085 AT 353/196/186/1-2, VILLAGE JOHRON, TRILOKPUR ROAD, KALA AMB, DISTRICT SIRMOUR-173030, HIMACHAL PRADESH. M- N-COS/16/43.",140 g,5.3 x 16.7 x 16.7 Centimeters,Deodorant,"Floral Zest Deodorant For Women, Citrus and Floral, Skin Friendly",Not available,Not available,"1)MIDAS-CARE PHARMACEUTICALS PVT. LTD., LOTUS CORPORATE PARK, 302, ""B"" WING, CTS NO. 185/A , GRAHAM FIRTH COMPOUND, WESTERN EXPRESS HIGHWAY, GOREGAON (EAST), MUMBAI -400 063 Maharashtra AT B-16, MIDC, WALUJ, AURANGABAD - 431136 Maharashtra. MFG. LIC. NO.: M-AD/C-003 ST. EX. LIC. NO.: L-1 8/95-96. 2) M/S. SAI CORPORATION., A-2/494, SECTOR -8, ROHINI, DELHI-110085 AT 353/196/186/1-2, VILLAGE JOHRON, TRILOKPUR ROAD, KALA AMB, DISTRICT SIRMOUR-173030, HIMACHAL PRADESH. M- N-COS/16/43.",Not available,Not available
"Nivea Deodorant, Fresh Flower for Women, 150ml",https://m.media-amazon.com/images/I/410-qrd5wBL._AC_UL320_.jpg,https://amazon.in/Nivea-Fresh-Flower-Deodorant-Women/dp/B016MBF2P8/ref=sr_1_18?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-18,133,190,4.2,"9,414",  #520 in Beauty     #21 in Deodorant       #21 in Deodorant,53%,27%,12%,3%,5%,https://amazon.in/Nivea-Fresh-Flower-Deodorant-Women/product-reviews/B016MBF2P8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Nivea,Spray,Fresh Flower,Not Tested On Animals,Not available,1,1 N,150 Millilitres,Whole Body,4.5 x 4.5 x 18 cm; 140 Grams,14 October 2015,"Sai Corporation, SAI CORPORATION, Khasra No.353/196/186/1-2, Village Johron, Trillokpur Road, Kala Amb, Dist. Sirmour-173030 (H.P); Phone: 022 6248 7999",B016MBF2P8,4005900243249,India,"Nivea India Pvt. Ltd., 4th Floor, A Wing, Art Guild House, Phoenix Market City, Kurla West, Mumbai, Maharashtra 400070; Phone: 022 6248 7999",140 g,45 x 45 x 180 Millimeters,Deodorant Female,Deodorant,Not available,No,Not available,Not available,Not available
"Park Avenue Signature Voyage Deodorant for Men, 150ml",https://m.media-amazon.com/images/I/61y2ymmYu9L._AC_UL320_.jpg,https://amazon.in/Park-Avenue-Signature-Voyage-140ml/dp/B007E9INFO/ref=sr_1_19?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-19,150,250,4.0,"4,986",  #954 in Beauty     #37 in Deodorant       #37 in Deodorant,49%,24%,15%,6%,6%,https://amazon.in/Park-Avenue-Signature-Voyage-140ml/product-reviews/B007E9INFO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Park Avenue,Lotion,Amber,Not available,Long Lasting Fragrance,1,140.0 millilitre,150 Millilitres,Not available,53 x 53 x 150 cm; 140 Grams,26 October 2013,"Suhan Aerosol, Suhan Aerosol, J / 1 – 8, Radheyshyam Industrial Complex, Village Asangaon (W), Tal. Shahapur, Thane-421 601, Maharashtra; Email: suhan.aerosol@gmail.com",B007E9INFO,NPABDV100007,India,"Suhan Aerosol, J / 1 – 8, Radheyshyam Industrial Complex, Village Asangaon (W), Tal. Shahapur, Thane-421 601, Maharashtra; Email: suhan.aerosol@gmail.com",140 g,53 x 53 x 150 Centimeters,"Deodorant for Men, 150ml",Deodorant,Not available,No,Not available,Not available,Not available
"Park Avenue Good Morning Body Deodorant for Men, 100g/150ml",https://m.media-amazon.com/images/I/71OI9DfSTPL._AC_UL320_.jpg,https://amazon.in/Park-Avenue-Good-Morning-Deodorant/dp/B007E9I11K/ref=sr_1_20?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-20,157,225,4.0,"7,799",  #682 in Beauty     #29 in Deodorant       #29 in Deodorant,49%,25%,14%,5%,7%,https://amazon.in/Park-Avenue-Good-Morning-Deodorant/product-reviews/B007E9I11K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Park Avenue,Spray,good morning,Not available,Long Lasting Fragrance,1,150.0 millilitre,150 Millilitres,Not available,53 x 53 x 180 cm; 100 Grams,16 January 2014,"Suhan Aerosol, Suhan Aerosol, J / 1 – 8, Radheyshyam Industrial Complex, Village Asangaon (W), Tal. Shahapur, Thane-421 601, Maharashtra; Email: suhan.aerosol@gmail.com",B007E9I11K,NPABDO100004,India,"Suhan Aerosol, J / 1 – 8, Radheyshyam Industrial Complex, Village Asangaon (W), Tal. Shahapur, Thane-421 601, Maharashtra; Email: suhan.aerosol@gmail.com",100 g,53 x 53 x 180 Centimeters,DEO GOOD MORNING 100GM,Deodorant,Gourmand Accords,No,Not available,Not available,Not available
"Nivea Deodorant, Pearl & Beauty for Women, 150ml",https://m.media-amazon.com/images/I/41kCFe+ZRDL._AC_UL320_.jpg,https://amazon.in/Nivea-Pearly-Beauty-Hours-Deodorant/dp/B00JA3YCUW/ref=sr_1_21?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-21,161,225,4.1,"5,542",  #917 in Beauty     #36 in Deodorant       #36 in Deodorant,54%,24%,11%,4%,7%,https://amazon.in/Nivea-Pearly-Beauty-Hours-Deodorant/product-reviews/B00JA3YCUW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Nivea,Spray,Not available,Not available,Not available,1,1 count,150 Millilitres,Not available,4.5 x 4.5 x 17.4 cm; 131.54 Grams,11 April 2014,"Nivea, RPM Group India, Block Number - 109 to 112 | Jay Ambe Complex | Near Pritesh Complex | Val Village | Bhiwandi - 421 302 (Dist-Thane). Tel No:- +91- 8983-023410 | 8983-023411 | 8983-023412 | 8983-023413 (Board Lines)",B00JA3YCUW,4005900060679 - For Pantry,India,"Nivea India Pvt. Ltd., 4th Floor, A Wing, Art Guild House, Phoenix Market City, Kurla West, Mumbai, Maharashtra 400070; Phone: 022 6248 7999",132 g,45 x 45 x 174 Millimeters,Deodorant Female,Deodorant,Alcohol Free,No,"Nivea India Pvt. Ltd., 4th Floor, A Wing, Art Guild House, Phoenix Market City, Kurla West, Mumbai, Maharashtra 400070; Phone: 022 6248 7999",Not available,Not available
"Nivea For Women Fresh Natural Deodorant, 150ml",https://m.media-amazon.com/images/I/41tyyMqxAIL._AC_UL320_.jpg,https://amazon.in/Nivea-Fresh-Natural-Deodorant-Women/dp/B00DRE0SPI/ref=sr_1_22?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-22,160,225,4.2,"5,244",  #834 in Beauty     #34 in Deodorant       #34 in Deodorant,54%,25%,13%,3%,5%,https://amazon.in/Nivea-Fresh-Natural-Deodorant-Women/product-reviews/B00DRE0SPI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Nivea,Spray,Fresh Natural,Not available,Not available,1,1 count,150 Millilitres,Not available,4.5 x 4.5 x 18 cm; 0.14 Grams,1 January 2017,"Sai Corporation, SAI CORPORATION, Khasra No.353/196/186/1-2, Village Johron, Trillokpur Road, Kala Amb, Dist. Sirmour-173030 (H.P); Phone: 022 6248 7999",B00DRE0SPI,4005900017543,India,"Nivea India Pvt. Ltd., 4th Floor, A Wing, Art Guild House, Phoenix Market City, Kurla West, Mumbai, Maharashtra 400070; Phone: 022 6248 7999",0.14 g,45 x 45 x 180 Millimeters,Deodorant Female,Deodorant,Aluminum Free,No,"Nivea India Pvt. Ltd., 4th Floor, A Wing, Art Guild House, Phoenix Market City, Kurla West, Mumbai, Maharashtra 400070; Phone: 022 6248 7999",Not available,Not available
"Just Herbs Long Lasting, Refreshing Body Spray, Natural Deodorant for Women - Phthalate-Free Formula,150 ml (Floral Fiesta)",https://m.media-amazon.com/images/I/417depUCGoL._AC_UL320_.jpg,https://amazon.in/Just-Herbs-Lasting-Refreshing-Deodorant/dp/B0BJPNXP2D/ref=sr_1_23?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-23,198.,325,4.3,264,Not available,67%,14%,7%,2%,10%,https://amazon.in/Just-Herbs-Lasting-Refreshing-Deodorant/product-reviews/B0BJPNXP2D/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"NIVEA Deodorant Roll On, Pearl & Beauty For Women 50ml",https://m.media-amazon.com/images/I/41yTql4T5bL._AC_UL320_.jpg,https://amazon.in/Nivea-Pearl-Beauty-Roll-50ml/dp/B006LXDVTM/ref=sr_1_24?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-24,159,199,4.4,"16,478",  #257 in Beauty     #11 in Deodorant       #11 in Deodorant,62%,24%,8%,2%,3%,https://amazon.in/Nivea-Pearl-Beauty-Roll-50ml/product-reviews/B006LXDVTM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Nivea,"Balm, Gel",Pearl Extract,Not available,Not available,1,50.0 millilitre,50 Millilitres,Not available,3.8 x 3.9 x 10.9 cm; 150 Grams,2 September 2013,"Nivea, NIVEA India Pvt. Ltd., 4th Floor, AGH, Phoenix Market City, Kurla (W), Mumbai-400070.",B006LXDVTM,837350981531,India,"NIVEA India Pvt. Ltd., 4th Floor, AGH, Phoenix Market City, Kurla (W), Mumbai-400070.",150 g,38 x 39 x 109 Millimeters,Not available,Deodorant,Alcohol Free; Colourant Free,No,"NIVEA India Pvt. Ltd., 4th Floor, AGH, Phoenix Market City, Kurla (W), Mumbai-400070.",Not available,Not available
"Revlon Charlie Deodorant For Women, 150ml each (Combo of 3)",https://m.media-amazon.com/images/I/710tgu5ebKL._AC_UL320_.jpg,https://amazon.in/Revlon-Charlie-Deos-Combo-Blue/dp/B00W1OP4PE/ref=sr_1_25?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-25,395.,590,3.9,"1,683","  #4,295 in Beauty     #184 in Deodorant       #184 in Deodorant",47%,22%,16%,7%,8%,https://amazon.in/Revlon-Charlie-Deos-Combo-Blue/product-reviews/B00W1OP4PE/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,REVLON,Spray,Charlie,Not available,Not available,3,3 count,200 Millilitres,Not available,13 x 4.3 x 17.5 cm; 360 Grams,13 April 2015,"Modi-Mundipharma Beauty Products Pvt. Ltd., Modi-Mundipharma Beauty Products Pvt. Ltd., Modi Nagar- 201204 U.P., customercell@modibeautyproducts.com",B00W1OP4PE,8902656800978,India,"Modi-Mundipharma Beauty Products Pvt. Ltd., Modi Nagar- 201204 U.P., customercell@modibeautyproducts.com",360 g,13 x 4.3 x 17.5 Centimeters,2 Deodorant,Deodorant,Not available,No,Not available,Not available,Not available
"Nivea Deodorant Roll On, Fresh Natural for Unisex, 50ml",https://m.media-amazon.com/images/I/7148EkqETJL._AC_UL320_.jpg,https://amazon.in/Nivea-Fresh-Natural-Roll-50ml/dp/B015A2C4J2/ref=sr_1_26?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-26,131,249,4.4,"3,409",  #815 in Beauty     #32 in Deodorant       #32 in Deodorant,61%,24%,9%,2%,3%,https://amazon.in/Nivea-Fresh-Natural-Roll-50ml/product-reviews/B015A2C4J2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Nivea,Liquid,fresh natural,Travel Size,Not available,1,1 N,50 Millilitres,Not available,4 x 4 x 12 cm; 100 Grams,12 September 2015,"Nivea, Beiersdorf (Thailand) Co.Ltd, 163, Bang Plee Industrial Estate, Bangna-Trad Rd, KM 24, Bangsaothong, Samutprakarn 10540, Thailand; Phone: 022 6248 7999",B015A2C4J2,NIV124,India,"Nivea India Pvt. Ltd., 4th Floor, A Wing, Art Guild House, Phoenix Market City, Kurla West, Mumbai, Maharashtra 400070; Phone: 022 6248 7999",100 g,40 x 40 x 120 Millimeters,Deodorant Female,Anti-perspirant,Alcohol Free,No,"Nivea India Pvt. Ltd., 4th Floor, A Wing, Art Guild House, Phoenix Market City, Kurla West, Mumbai, Maharashtra 400070; Phone: 022 6248 7999",Not available,Not available
"Nivea Fresh Active Deodorant Roll On For Men, 50ml",https://m.media-amazon.com/images/I/61MHOpo28bL._AC_UL320_.jpg,https://amazon.in/Nivea-Fresh-Active-Roll-50ml/dp/B007E9E9CK/ref=sr_1_27?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-27,161,175,4.3,"15,217",  #101 in Beauty     #2 in Deodorant       #2 in Deodorant,60%,25%,9%,3%,3%,https://amazon.in/Nivea-Fresh-Active-Roll-50ml/product-reviews/B007E9E9CK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Nivea,Roll-on,Fresh,Not available,Not available,1,1 count,50 Millilitres,Whole Body,4.1 x 4.1 x 11 cm; 160 Grams,2 September 2013,"PC Thailand, Beiersdorf (Thailand) Co.Ltd, 163, Bang Plee Industrial Estate, Bangna-Trad Rd, KM 24, Bangsaothong, Samutprakarn 10540, Thailand; Phone: 022 6248 7999",B007E9E9CK,828080981531,Thailand,"Nivea India Pvt. Ltd., 4th Floor, A Wing, Art Guild House, Phoenix Market City, Kurla West, Mumbai, Maharashtra 400070; Phone: 022 6248 7999",160 g,41 x 41 x 110 Millimeters,Dedoarnt Male,Anti-perspirant,Alcohol Free,No,"Nivea India Pvt. Ltd., 4th Floor, A Wing, Art Guild House, Phoenix Market City, Kurla West, Mumbai, Maharashtra 400070; Phone: 022 6248 7999",Not available,Not available
Old Spice Pure Sport High Endurance Deodorant Stick For Men 63 G,https://m.media-amazon.com/images/I/61NKKM8jiEL._AC_UL320_.jpg,https://amazon.in/Old-Spice-Deodorant-2-25oz-Sport/dp/B0013NHTSY/ref=sr_1_28?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-28,484,575,4.2,886,"  #3,835 in Beauty     #165 in Deodorant       #165 in Deodorant",59%,21%,8%,4%,8%,https://amazon.in/Old-Spice-Deodorant-2-25oz-Sport/product-reviews/B0013NHTSY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Not available,Not available,Not available,Not available,Not available,Not available,63.0 gram,Not available,Not available,15.24 x 10.16 x 10.16 cm; 62.37 Grams,17 September 2015,"Old Spice, OLD SPIC",B0013NHTSY,B0013NHTSY,USA,MARUTI ENTERPRISES,62.3 g,15.2 x 10.2 x 10.2 Centimeters,Not available,Deodorant,Not available,No,MARUTI ENTERPRISES,Not available,Not available
"NIVEA Natural Glow Smooth Skin Deodorant Roll On for Women, 50ml (originally Whitening Smooth Skin)",https://m.media-amazon.com/images/I/51GPoF39hUL._AC_UL320_.jpg,https://amazon.in/Nivea-Whitening-Smooth-Skin-Roll/dp/B00FRDAGB8/ref=sr_1_29?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-29,139,199,4.4,"31,137",Not available,61%,25%,9%,2%,2%,https://amazon.in/Nivea-Whitening-Smooth-Skin-Roll/product-reviews/B00FRDAGB8?reviewerType=all_reviews,Not available,Nivea,Roll-on,mulethi,Not available,Not available,1,50 millilitre,50 Millilitres,Hands,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Alcohol Free,Not available,Not available,Not available,Not available
