ProductName,image,link,price,maxretailprice,stars,GlobalRatings,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,reviewsLink,packageSize,Item Form,Skin Type,Brand,Scent,Material Feature,Material Type Free,Age Range (Description),Number of Items,Net Quantity,Special Feature,Is Discontinued By Manufacturer,Product Dimensions,Date First Available,Manufacturer,ASIN,Item model number,Country of Origin,Item Weight,Item Dimensions LxWxH,Generic Name,Packer,Importer,Included Components,Use for,Package Dimensions,Item part number,Colour,Item Package Quantity,Product Benefits,Special Ingredients,Recommended Uses For Product
"Biotique Fruit Brightning Face Wash, 200ml",https://m.media-amazon.com/images/I/51ym8rbYGrL._AC_UL320_.jpg,https://amazon.in/Biotique-White-Advanced-Fairness-Transparent/dp/B07QF7LNVD/ref=sr_1_11?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sprefix=face+wash%2Caps%2C245&sr=8-11,175,240,4.1,"36,835",52%,26%,12%,4%,6%,https://amazon.in/Biotique-White-Advanced-Fairness-Transparent/product-reviews/B07QF7LNVD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Gel,Normal,Biotique,"Pineapple, Lemon","Not Tested On Animals,Organic,Cruelty Free",Alcohol Free; Paraben Free,Adult,1,200.0 millilitre,"Alcohol Free, Paraben, Cruelty Free",No,5 x 5 x 17.5 cm; 240 Grams,04-Apr-19,Biotique,B07QF7LNVD,NEWRETFMCG005,India,240 g,50 x 50 x 175 Millimeters,White Advanced Fairness Face Wash,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Everyuth Naturals Anti Acne, Anti Marks Tulsi Turmeric Face Wash, 150gm, Tube",https://m.media-amazon.com/images/I/71sMOICxp8L._AC_UL320_.jpg,https://amazon.in/Everyuth-Naturals-Tulsi-Turmeric-150ml/dp/B01CTVULGA/ref=sr_1_12?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sprefix=face+wash%2Caps%2C245&sr=8-12,93,185,4,525,48%,24%,14%,5%,8%,https://amazon.in/Everyuth-Naturals-Tulsi-Turmeric-150ml/product-reviews/B01CTVULGA/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Facewash,Tube,All,Everyuth,Turmeric,Antibacterial,Soap Free,Adult,1,150.0 gram,Acne Preservative Free,No,5 x 5 x 16.7 cm; 150 Grams,11-Mar-16,"Zydus Wellness, Zydus Wellness, Plot no.26,27,28,30,37, Mamring power house, Mamring block,namthang elakha,, Namachi, South Sikkim, Sikkim, 737132; Email: customercare@zyduswellness.com",B01CTVULGA,8.90155E+12,India,150 g,50 x 50 x 167 Millimeters,Not available,"Zydus Wellness, Plot no.26,27,28,30,37, Mamring power house, Mamring block,namthang elakha,, Namachi, South Sikkim, Sikkim, 737132; Email: customercare@zyduswellness.com",Not available,Facewash tube,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Clean & Clear Foaming Face Wash For Oily Skin, 150ml",https://m.media-amazon.com/images/I/51lqWQWKuiL._AC_UL320_.jpg,https://amazon.in/Clean-Clear-Foaming-Face-Wash/dp/B00CI3HDMU/ref=sr_1_13?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sprefix=face+wash%2Caps%2C245&sr=8-13,150,195,4.4,"10,517",60%,26%,9%,3%,3%,https://amazon.in/Clean-Clear-Foaming-Face-Wash/product-reviews/B00CI3HDMU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Foam,Normal,Clean & Clear,Not available,Not available,Oil Free,Adult,1,150.0 millilitre,Oil Free,No,5.5 x 2 x 14.5 cm; 150 Grams,24-Apr-13,"Johnson & Johnson Pvt LTD, Johnson & Johnson Pvt LTD, VOP Bhatoli Kalan, Tehsil Baddi, Dist. Solan, Baddi HP, 1800-228-111",B00CI3HDMU,33503890,India,150 g,5.5 x 2 x 14.5 Centimeters,Facial Wash,"Johnson & Johnson Pvt LTD, VOP Bhatoli Kalan, Tehsil Baddi, Dist. Solan, Baddi HP, 1800-228-111",Not available,Facial Wash,Face,Not available,Not available,Not available,1,Not available,Not available,Not available
"Cetaphil Oily Skin Cleanser , Daily Face Wash for Oily, Acne prone Skin , Gentle Foaming, 125ml",https://m.media-amazon.com/images/I/718NOimjcaL._AC_UL320_.jpg,https://amazon.in/Cetaphil-Cleanser-Oily-Skin-125ml/dp/B01CCGW732/ref=sr_1_14?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sprefix=face+wash%2Caps%2C245&sr=8-14,440,545,4.3,"6,402",60%,23%,9%,3%,5%,https://amazon.in/Cetaphil-Cleanser-Oily-Skin-125ml/product-reviews/B01CCGW732/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Liquid,Oily,Cetaphil,Unscented,Dermatologist Tested,Sodium Laureth Sulfate (SLES) Free,18 and above,1,125 count,Hypoallergenic,No,11.4 x 6.2 x 2.6 cm; 75 Grams,29-Feb-16,"Nestlé Skin Health India Pvt. Ltd.(Formerly known as Galderma India Pvt. Ltd.), Encube Ethicals Pvt. Ltd.Plot No C 1, Madkaim Industrial Estate,,Post Mardol, Ponda, Goa 403406",B01CCGW732,Cetaphil_3,India,75 g,11.4 x 6.2 x 2.6 Centimeters,Face cleanser,"Encube Ethicals Pvt. Ltd.Plot No C 1, Madkaim Industrial Estate,,Post Mardol, Ponda, Goa 403404",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Plum Green Tea Pore Cleansing Face Wash | Acne Face Wash | Oily Skin | Bright, Clear Skin | 100% Vegan | Soap-Free | Face Wash for Women & Men | 120ml",https://m.media-amazon.com/images/I/51aIyNt4ypL._AC_UL320_.jpg,https://amazon.in/Plum-Green-Cleansing-Bright-Soap-Free/dp/B08PQDXMFP/ref=sr_1_15?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sprefix=face+wash%2Caps%2C245&sr=8-15,255,360,4.3,"12,803",56%,26%,10%,3%,4%,https://amazon.in/Plum-Green-Cleansing-Bright-Soap-Free/product-reviews/B08PQDXMFP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Gel,"All, Oily, Combination",Plum,"Plum,Green Tea","Cruelty Free, Vegan",Cruelty Free,Adult,1,120.0 millilitre,"Not Tested On Animals, Oily, acne-prone skin, Natural Ingredients",No,3 x 3 x 7 cm; 120 Grams,04-Dec-20,"Sprivil Healthcare Private Limited, Sprivil Healthcare Private Limited L1/4, Additional MIDC, Satara (MH) 415004",B08PQDXMFP,PLGT0120FWA0538,India,120 g,30 x 30 x 70 Millimeters,"Green Tea Pore Cleansing Face Wash | Acne Face Wash For Women | Oily Skin | Bright, Clear Skin | 100% Vegan | Soap-Free | 120ml",Pureplay Skin Sciences,Pureplay Skin Sciences,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Pond'S Bright Beauty Spot-Less Fairness & Germ Removal Facewash 200 G,https://m.media-amazon.com/images/I/41s5wVGxWnL._AC_UL320_.jpg,https://amazon.in/Ponds-Bright-Beauty-Spot-less-Vitamins/dp/B08NYD1GGK/ref=sr_1_16?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sprefix=face+wash%2Caps%2C245&sr=8-16,263,355,4.4,"7,302",60%,25%,9%,2%,3%,https://amazon.in/Ponds-Bright-Beauty-Spot-less-Vitamins/product-reviews/B08NYD1GGK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Face wash 200 ml,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,200.0 gram,Not available,Not available,5 x 5 x 16 cm; 200 Grams,04-Dec-20,"L.B.C.P.Pvt Ltd, LBCP Unit II, Haridwar 249403, Uttarakhand TOLL FREE : 1800-10-22-221 PO BOX 14760, MUMBAI 400 099 LEVER.CARE@UNILEVER.COM",B08NYD1GGK,12971,India,200 g,50 x 50 x 160 Millimeters,White Beauty Spot-less Fairness & Germ Removal Face Wash,Not available,Not available,Face Wash,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Garnier Men, Face Wash, Brightening & Anti-Pollution, TurboBright Double Action, 150 g",https://m.media-amazon.com/images/I/51YOFiC3zvL._AC_UL320_.jpg,https://amazon.in/Garnier-Bright-Double-Charcoal-Facewash/dp/B08PQLBM2M/ref=sr_1_17?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sprefix=face+wash%2Caps%2C245&sr=8-17,263,325,4.3,"34,031",58%,26%,9%,3%,4%,https://amazon.in/Garnier-Bright-Double-Charcoal-Facewash/product-reviews/B08PQLBM2M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Cream,All,Garnier,Unscented,Antibacterial,Alcohol Free,Adult,1,150 millilitre,Organic,Not available,5 x 7.8 x 15.9 cm; 150 Grams,04-Dec-20,"Loreal India Pvt. Ltd., L’Oréal India Pvt. Ltd., Chakan, Pune - 410 501. M. Lic. No.: M PD/C-44 N) Pritam International Pvt. Ltd., K. No. 138, Raipur Industrial Area, Roorkee 247 667, Uttarakhand. M. Lic. No.: M-10/C/UA/2013",B08PQLBM2M,SYMDF150,India,150 g,50 x 78 x 159 Millimeters,Men Power White Double Action Charcoal Face Wash,"L’Oréal India Pvt. Ltd., Chakan, Pune - 410 501. M. Lic. No.: M PD/C-44 N) Pritam International Pvt. Ltd., K. No. 138, Raipur Industrial Area, Roorkee 247 667, Uttarakhand. M. Lic. No.: M-10/C/UA/2013",Loreal India Pvt. Ltd.,Face Wash,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Mamaearth Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination - 100ml,https://m.media-amazon.com/images/I/51TRUq9GxDL._AC_UL320_.jpg,https://amazon.in/Mamaearth-Vitamin-Face-Turmeric-Illumination/dp/B089W938BR/ref=sr_1_18?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sprefix=face+wash%2Caps%2C245&sr=8-18,259,259,4,"22,128",49%,26%,13%,5%,8%,https://amazon.in/Mamaearth-Vitamin-Face-Turmeric-Illumination/product-reviews/B089W938BR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Cream,Combination,Mamaearth,Turmeric,Dermatologist Tested,Paraben Free,Adult,1,100 millilitre,Vitamin C,No,30.2 x 8.2 x 3.2 cm; 100 Grams,08-Jun-20,"Mamaearth, Kapco International Ltd",B089W938BR,8.90609E+12,India,100 g,30.2 x 8.2 x 3.2 Centimeters,Facewash,Kapco International Ltd,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Himalaya Herbals Purifying Neem Face Wash, 150ml",https://m.media-amazon.com/images/I/71iB238C14L._AC_UL320_.jpg,https://amazon.in/Himalaya-Herbals-Purifying-Neem-150ml/dp/B010Z0LH8I/ref=sr_1_19?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sprefix=face+wash%2Caps%2C245&sr=8-19,142,170,4.4,"8,018",61%,25%,9%,2%,3%,https://amazon.in/Himalaya-Herbals-Purifying-Neem-150ml/product-reviews/B010Z0LH8I/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,As shown in the picture,Gel,Acne Prone,Himalaya,Neem,Organic,Soap-free,Adult,1,150.0 millilitre,Organic,No,4.45 x 7.62 x 15.24 cm; 100 Grams,16-Jan-13,"Himalaya, The Himalaya Drug Company, Makali, Bengalure, 562162; 1-800-208-1930",B010Z0LH8I,2004_X,India,100 g,44 x 76 x 152 Millimeters,Neem face wash,"The Himalaya Drug Company, Makali, Bengalure, 562162; 1-800-208-1930","The Himalaya Drug Company At: (20) No. 182, Village Gurumajra, Kishanpura, Tehsil Nalagarh- 174101, Dist. Salan (H.P.)",Face Wash 1 unit 150ML,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Garnier Skin Naturals, Facewash, Cleansing and Brightening, Bright Complete, 150 g",https://m.media-amazon.com/images/I/51b6jWLQBlL._AC_UL320_.jpg,https://amazon.in/Garnier-Bright-Complete-VITAMIN-Facewash/dp/B094RQ7BQ8/ref=sr_1_20?crid=2YSQ7WN74RIQY&keywords=face+wash&qid=1680069219&sprefix=face+wash%2Caps%2C245&sr=8-20,211,279,4.3,"3,007",58%,25%,9%,3%,6%,https://amazon.in/Garnier-Bright-Complete-VITAMIN-Facewash/product-reviews/B094RQ7BQ8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,"Cream, Serum",All,Garnier,Lemon,Dermatologist Tested,Gluten Free,Adult,1,150.0 gram,Organic,Not available,5 x 7.8 x 15.9 cm; 150 Grams,12-May-21,"Garnier, Pritam International Pvt Ltd., K. No. 138, Raipur Industrial Area, Roorkee, Uttarakhand - 247667",B094RQ7BQ8,SYWLM045,India,150 g,50 x 78 x 159 Millimeters,Skin Care,"Pritam International Pvt Ltd., K. No. 138, Raipur Industrial Area, Roorkee, Uttarakhand - 247667","Loreal India Pvt. Ltd. A-Wing, 8th Floor, Marathon Futurex, NM Joshi Marg, Lower Parel, Mumbai, Maharashtra 400013",Face wash,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
